,remote_hostname,company,company_website,result
2031,alidns.com,AliDNS,https://www.aliyun.com/product/alidns,DNS
2032,jivox.com,Jivox,https://www.jivox.com/,marketing
2033,worxlandroid.com,Worx,https://www.worx.com/,first-party host
2034,m.me,Facebook,https://www.facebook.com/,first-party host
2035,messenger.com,Facebook,https://www.facebook.com/,first-party host
2036,youtu.be,YouTube,https://www.youtube.com/,CDN
2037,fb.gg,Facebook,https://www.facebook.com/,marketing
2038,withings.net,Withings,https://www.withings.com/,marketing
2039,answerscloud.com,Answers Corporation,https://www.answers.com/,marketing
2040,dropboxusercontent.com,Dropbox,https://www.dropbox.com/,CDN
2041,luminati.io,Luminati,https://luminati.io/,proxy network for web data extraction and online privacy solutions
2042,luminatinet.com,Luminati,https://luminati.io/,marketing
2043,bfmio.com,BFMIO,https://bfmio.com/,marketing
2044,hola.org,HOLA,https://hola.org/,first-party host
2045,lum-superproxy.io,Luminati,https://luminati.io/,proxy and CDN network
2046,axs.com,AXS,https://www.axs.com/,ticketing and event management
2047,123freecell.com,123 Free Cell,https://www.123freecell.com/,static server
2048,ignorelist.com,ignorelist.com,https://ignorelist.com/,It is not possible to determine the purpose of this URL without additional information.
2049,clmbtech.com,CLMB Tech,https://www.clmbtech.com/,advertising
2050,adgear.com,AdGear,https://adgear.com,marketing
2051,webrootcloudav.com,Webroot,https://www.webroot.com/,antivirus software
2052,powerbi.com,Microsoft,https://www.microsoft.com,analytics
2053,sssnet.com,SSSNET,https://www.sssnet.com/,DNS
2054,beam.pro,Beam Interactive,https://dev.mixer.com/,content delivery network (CDN)
2055,audioeye.com,Audioeye,https://www.audioeye.com/,analytics
2056,highwebmedia.com,High Web Media,https://highwebmedia.com/,marketing
2057,pub-tmaws.io,TMA World Services,https://www.tmaworld.com/,CDN
2058,safebee.com,SafeBee,https://www.safebee.com/,marketing
2059,basis.net,CDN,https://www.basis.net/,"Basis is a content delivery network (CDN) providing fast and secure delivery of static files, images, videos, and other content from a globally distributed network of servers. It is used to speed up websites and applications, reduce server load, and improve user experience."
2060,salecycle.com,SaleCycle,https://www.salecycle.com/,marketing
2061,dzcdn.net,Dazn,https://www.dazn.com/,CDN
2062,2i3.net,2i3.net,https://2i3.net/,DNS
2063,dellsupportcenter.com,Dell,https://www.dell.com/,customer support
2064,amcrestcloud.com,Amcrest,https://amcrest.com/,cloud-based video surveillance service
2065,amcrestview.com,Amcrest,https://amcrest.com/,First-party host
2066,amcrestsecurity.com,Amcrest,https://amcrest.com/,marketing
2067,usbla.net,Unknown,,Cannot determine the purpose of the provided URL
2068,arin.net,American Registry for Internet Numbers (ARIN),https://www.arin.net/,DNS
2069,in-addr-servers.arpa,Internet Assigned Numbers Authority (IANA),https://www.iana.org/,DNS
2070,idrive.com,IDrive Inc.,https://www.idrive.com/,CDN
2071,ibackup.com,iBackup,https://www.ibackup.com/,CDN
2072,leanstream-hq.com,LeanStream,https://www.leanstreamhq.com/,marketing
2073,ip-api.com,APILAYER GmbH,https://apilayer.com/,IP Geolocation and reverse DNS lookup
2074,edgecastdns.net,Verizon Media,https://www.verizonmedia.com/,DNS
2075,readdle.com,Readdle,https://readdle.com/,marketing
2076,obihai.com,Obihai,https://www.obitalk.com/,static server
2077,obitalk.com,Obihai Technology,https://www.obitalk.com/,first-party host
2078,136.in-addr.arpa,DNS,https://www.iana.org/domains/root/db,This is a special domain used for reverse DNS lookup to find the hostname associated with an IP address.
2079,mycingular.net,AT&T,https://www.att.com/,first-party host
2080,ericashome.com,Erica's Home,ericashome.com,first-party host
2081,premiumize.me,premiumize.me,https://www.premiumize.me/,CDN
2082,krypt.com,Krypt,https://www.krypt.com,static server
2083,nzbgeek.info,NZBgeek,https://www.nzbgeek.info/,first-party host
2084,vesync.com,VeSync,https://www.vesync.com/,marketing
2085,ngxcld.com,CDN77,https://www.cdn77.com/,CDN
2086,myhomescreen.tv,My Home Screen,https://www.myhomescreen.tv/,DNS
2087,getyourguide.com,GetYourGuide,https://www.getyourguide.com/,marketing
2088,doub.ly,DoubleClick,https://www.doubleclickbygoogle.com/,advertising
2089,optonline.net,Optimum Online,https://www.optimum.net/,DNS
2090,readcube.com,ReadCube,https://www.readcube.com/,analytics
2091,nrk.no,NRK,https://www.nrk.no/,"{'purpose': 'DNS', 'description': ""The provided URL is for the Domain Name System (DNS) of NRK, which is responsible for translating domain names (such as nrk.no) to IP addresses that can be used to access the website's content.""}"
2092,accedo.tv,Accedo,https://www.accedo.tv/,CDN
2093,tns-cs.net,TNS,https://www.tnsglobal.com/,DNS
2094,zoominternet.net,Zoom Internet,https://www.zoominternet.net/,DNS
2095,appboy-images.com,Appboy,https://www.appboy.com/,CDN
2096,ign.com,IGN,https://www.ign.com/,marketing
2097,twitchsvc.net,Twitch,https://www.twitch.tv/,CDN
2098,maas.global,CDN77,https://www.cdn77.com/,CDN
2099,influxdata.com,InfluxData,https://www.influxdata.com/,analytics
2100,sensibo.com,Sensibo,https://sensibo.com/,marketing
2101,untappd.com,Untappd,https://untappd.com/,first-party host
2102,dedicatedpanel.com,DedicatedPanel,https://www.dedicatedpanel.com/,CDN
2103,swypeconnect.com,Swype Connect,https://swypeconnect.com/,marketing
2104,yetwp.com,Yet WP,https://yetwp.com/,DNS
2105,smartnews.com,SmartNews,https://www.smartnews.com/,news aggregation
2106,moviesanywhere.com,Movies Anywhere,https://moviesanywhere.com/,first-party host
2107,quickconnect.cn,Quickconnect,https://www.quickconnect.cn/,CDN
2108,tenjin.io,Tenjin,https://www.tenjin.io/,analytics
2109,com.ru,,,
2110,kpn.net,KPN,https://www.kpn.com/,DNS
2111,nstorage.org,N/A,,DNS
2112,caiway.nl,Caiway,https://www.caiway.nl/,DNS
2113,tequilaboomboom.club,unknown,unknown,possible marketing or advertising purpose
2114,edolphin.site,,,
2115,icn.ua,ICN.ua,https://icn.ua/,DNS
2116,mts-chita.ru,MTS,https://www.mts.ru/,first-party host
2117,telmtproto.club,,,
2118,wellhosted.ch,WellHosted,https://wellhosted.ch/,static server
2119,aspadmin.net,Unknown,,The purpose of the provided URL could not be identified.
2120,steadfastdns.net,Steadfast Networks,https://steadfast.net/,DNS
2121,research.com,research.com,https://www.research.com,"Unfortunately, we could not determine the purpose of the provided URL"
2122,group-ib.com,Group-IB,https://www.group-ib.com/,It is not possible to determine the purpose of the provided URL without additional information.
2123,warezwaldo.org,N/A,N/A,"The provided URL is not associated with any of the mentioned categories (tracking, marketing, advertising, analytics, CDN, static server, DNS, first-party host). It is likely to be a personal or non-commercial website."
2124,ip-54-36-110.eu,,,
2125,lazerpenguin.com,Lazer Penguin,https://www.lazerpenguin.com/,first-party host
2126,ftp.sh,N/A,N/A,The provided URL does not contain enough information to determine its purpose.
2127,torrentapi.org,None,None,This URL is not associated with any of the given options
2128,eztv.io,EZTV,https://eztv.io/,static server
2129,eztv.ag,EZTV,https://eztv.ag,The purpose of eztv.ag is for tracking and providing torrent downloads for TV shows.
2130,limetorrents.info,,,
2131,zooqle.com,Zooqle,https://zooqle.com/,static server
2132,thepiratebay.org,The Pirate Bay,thepiratebay.org,peer-to-peer file sharing website
2133,hypixel.net,Hypixel Studios,https://hypixelstudios.com/,first-party host
2134,syncthing.net,Syncthing,https://syncthing.net/,file synchronization tool
2135,avistaz.to,AvistaZ,https://avistaz.to/,static server
2136,athom.com,Athom,https://athom.com/,DNS
2137,ip-192-99-14.net,CDN77,https://www.cdn77.com/,CDN
2138,clipperoint.com,Clipperoint,https://www.clipperoint.com/,static server
2139,t-ipconnect.de,T-Systems International GmbH,https://www.t-systems.com/,DNS
2140,privacy-center.org,privacy-center.org,https://privacy-center.org/,DNS
2141,verisign.com,Verisign,https://www.verisign.com/,DNS
2142,gotomeeting.com,GoToMeeting,https://www.gotomeeting.com/,marketing
2143,expertcity.com,ExpertCity,https://www.logmeininc.com/,remote desktop software and online meeting software
2144,symcd.com,Symantec Corporation,https://www.symantec.com/,CDN
2145,foxitsoftware.com,Foxit Software,https://www.foxitsoftware.com/,marketing
2146,corusappservices.com,Corus Entertainment,https://www.corusent.com/,It is not possible to determine the exact purpose of the provided URL without additional information.
2147,globaltv.com,Global TV,https://www.globaltv.com/,"{'purpose': 'streaming and on-demand TV services', 'type': 'first-party host'}"
2148,ddns3-instar.de,INSTAR GmbH,https://www.instar.de/,DNS
2149,xnet.ro,XNET SRL,https://www.xnet.ro/,DNS
2150,rovicorp.com,Rovi Corporation,http://www.rovicorp.com/,CDN
2151,airbnb.com,Airbnb,www.airbnb.com,first-party host
2152,privacymanager.io,PrivacyManager.io,https://privacymanager.io/,DNS
2153,umbrella.com,Cisco,https://www.cisco.com/,DNS
2154,assoc-amazon.com,Amazon,https://www.amazon.com/,marketing
2155,forgesvc.net,ForgeRock,https://www.forgerock.com/,identity and access management solutions
2156,craigslist.org,Craigslist,https://www.craigslist.org/,"{'purpose': 'first-party host', 'description': 'Craigslist is a website where people can post classified ads for free. The purpose of the provided URL is to serve as a first-party host for the website.'}"
2157,linksys.com,Linksys,https://www.linksys.com/,first-party host
2158,klaviyo.com,Klaviyo,https://www.klaviyo.com/,marketing
2159,byteoversea.net,Byte Oversea,https://byteoversea.net/,DNS
2160,trendmicro.com,Trend Micro,https://www.trendmicro.com/,DNS
2161,ryanair.com,Ryanair,https://www.ryanair.com,booking and reservation website (first-party host)
2162,pi-charter.net,PI Charter,https://www.pi-charter.net/,static server
2163,irdeto.com,Irdeto,https://www.irdeto.com/,It is not possible to determine the purpose of the provided URL without additional information.
2164,dropboxstatic.com,Dropbox,https://www.dropbox.com/,static server
2165,cdnjquery.com,jQuery Foundation,https://jquery.org/,CDN
2166,bamlabs.com,,,
2167,aptible.in,Aptible,https://www.aptible.com/,first-party host
2168,lankadeepa.lk,Lankadeepa,https://www.lankadeepa.lk/,{'purpose': 'first-party host'}
2169,opera.software,Opera Software,https://www.opera.com/,{'purpose': 'first-party host'}
2170,dmxleo.com,DMXleo,https://www.dmxleo.com/,marketing
2171,bmo.com,BMO Financial Group,https://www.bmo.com/,first-party host
2172,livesegmentservice.com,LiveSegmentService,https://www.livesegmentservice.com/,CDN
2173,actcorp.in,ACT Fibernet,https://www.actcorp.in/,Internet Service Provider
2174,telesp.net.br,Telecomunicações de São Paulo S.A. - TELESP,http://www.telefonica.com.br/,DNS
2175,wi-power.com,Wi-Power,https://wi-power.com,static server
2176,megalinkcorp.com.br,Megalink Corp,https://megalinkcorp.com.br/,It is not possible to determine the purpose of this URL without additional information.
2177,itans.com.br,ITANS,https://itans.com.br/,DNS
2178,etapanet.net,EtapaNet,http://www.etapanet.net/,DNS
2179,imsbiz.com,IMSBiz,https://www.imsbiz.com/,marketing
2180,maisnet.srv.br,MaisNet,https://maisnet.srv.br/,DNS
2181,nastech.bg,Nastech,nastech.bg,first-party host
2182,dg-w.de,DGW GmbH,https://dg-w.de/,static server
2183,cecollect.com,Adobe,https://www.adobe.com,analytics
2184,datapacket.com,DataPacket,https://www.datapacket.com/,CDN
2185,epsonconnect.com,Epson,https://epson.com/,marketing
2186,playfabapi.com,PlayFab,https://playfab.com/,API for game development and management
2187,inq.com,INQ Mobile Limited,http://www.inq.com/,marketing
2188,schoolwires.com,Schoolwires,https://www.schoolwires.com/,first-party host
2189,userzoom.com,UserZoom,https://www.userzoom.com/,marketing
2190,ups.com,UPS,https://www.ups.com/,"{'purpose': 'shipping and logistics', 'category': 'first-party host', 'description': 'The provided URL belongs to UPS, a shipping and logistics company. The website is used by the company to provide information about their services and allow customers to track and manage their shipments. This is a first-party host as it is owned and operated by UPS and not used for any external tracking, marketing, or advertising purposes.'}"
2191,myzmodo.com,Zmodo,https://www.zmodo.com/,marketing
2192,imgbox.com,imgbox.com,https://imgbox.com/,static server
2193,bilsyndication.com,Billboard,https://www.billboard.com/,advertising
2194,udmserve.net,Unica Corporation,https://www.hcltech.com/products-and-platforms/unica,marketing
2195,histats.com,Histats,https://www.histats.com/,analytics
2196,adform.net,Adform,https://site.adform.com,advertising
2197,dca0.com,CDN,https://dca0.com/,"The provided URL belongs to a CDN (Content Delivery Network) provider, which is a distributed network of servers that delivers web content and pages to users based on their geographic location, server availability, and other factors. CDNs help to improve website performance and reduce latency by caching content closer to users and distributing the load across multiple servers."
2198,lqm.io,LQM,https://www.lqm.io/,marketing
2199,ttnet.com.tr,TTNET,https://www.ttnet.com.tr/,"{'purpose': 'Internet Service Provider', 'description': 'TTNET is the largest Internet service provider in Turkey, providing broadband Internet, phone, and IPTV services.'}"
