,remote_hostname,company,company_website,result,WHOIS,Browser,New Bing/Internet,My deduce
197,ssl-images-amazon.com,Amazon,https://www.amazon.com/,CDN,,,,
61,azureedge.net,Microsoft,https://www.microsoft.com/,CDN,,,,
14,amazonvideo.com,Amazon,https://www.amazon.com,CDN,,,,
24,nflxvideo.net,Netflix,https://www.netflix.com/,CDN,,,,
234,avcdn.net,Akamai Technologies,https://www.akamai.com/,CDN,,,,
423,aiv-cdn.net,AIV,https://www.aiv-inc.com/,CDN,,,,
124,samsungcloud.com,Samsung,https://www.samsung.com/,CDN,,,,
153,uplynk.com,Uplynk,https://www.uplynk.com/,CDN,,,,
494,windowsupdate.com,Microsoft Corporation,https://www.microsoft.com,CDN,,,,
349,ampproject.net,Google,https://www.google.com/,CDN,,,,
